time_us,engine_rpm,wheel_rpm,secondary_rpm,sheave_position,sheave_setpoint,pwm,brake_position,kp_term,ki_term,kd_term
8544609, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000
8755866, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000
8957898, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000
9158873, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000
9361909, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000
9563904, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000
9764896, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000
9967780, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000
10177782, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000
10377787, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000
10577841, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000
10778766, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000
10988829, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000
11189821, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000
11389841, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000
11591899, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000
11792605, 0.000000, 0.000000, 0.000000, -93.000000, -90.000000, 17.046000, 0.000000, 4.500000, 0.546000, 12.000000
12002794, 0.000000, 0.000000, 0.000000, -99.000000, -90.000000, 14.177999, 0.000000, 13.500000, 6.678000, -6.000000
12203804, 0.000000, 0.000000, 0.000000, -93.000000, -90.000000, 9.966000, 0.000000, 4.500000, 11.466000, -6.000000
12406021, 0.000000, 0.000000, 0.000000, -88.000000, -90.000000, 4.734000, 0.000000, -3.000000, 11.634000, -6.000000
12616908, 0.000000, 0.000000, 0.000000, -86.000000, -90.000000, 6.600000, 0.000000, -6.000000, 8.400000, 0.000000
12818823, 0.000000, 0.000000, 0.000000, -86.000000, -90.000000, 3.240000, 0.000000, -6.000000, 5.040000, 0.000000
13019869, 0.000000, 0.000000, 0.000000, -82.000000, -90.000000, -15.012000, 0.000000, -12.000000, 0.588000, -12.000000
13222871, 0.000000, 0.000000, 0.000000, -74.000000, -90.000000, 1.000000, 0.000000, -24.000000, 0.000000, -6.000000
13423582, 0.000000, 0.000000, 0.000000, -72.000000, -90.000000, 1.000000, 0.000000, -27.000000, 0.000000, -6.000000
13633894, 0.000000, 0.000000, 0.000000, -69.000000, -90.000000, 1.000000, 0.000000, -31.500000, 0.000000, 0.000000
13835918, 0.000000, 0.000000, 0.000000, -66.000000, -90.000000, -22.799999, 0.000000, -36.000000, 0.000000, -12.000000
14046929, 0.000000, 0.000000, 0.000000, -53.000000, -90.000000, -40.650002, 0.000000, -55.500000, 0.000000, -24.000000
14247861, 0.000000, 0.000000, 0.000000, -49.000000, -90.000000, 1.000000, 0.000000, -61.500000, 0.000000, 6.000000
14450890, 0.000000, 0.000000, 0.000000, -50.000000, -90.000000, -18.000000, 0.000000, -60.000000, 0.000000, 0.000000
