time_us,engine_rpm,wheel_rpm,secondary_rpm,sheave_position,sheave_setpoint,pwm,brake_position,kp_term,ki_term,kd_term
6306889, 1100.233765, 0.000000, 0.000000, -90.000000, -90.000000, 1.000000, 0.258194, 0.000000, 0.000000, 0.000000
6509789, 2543.424805, 0.000000, 0.000000, -88.000000, -6.215206, 239.089478, 0.273579, 122.677185, 26.501141, 89.911151
6720859, 3636.161865, 0.000000, 0.000000, -82.000000, 49.286224, 343.715942, 0.284281, 196.929337, 120.462942, 26.323653
6932135, 3629.413330, 0.000000, 0.000000, -57.000000, 74.585098, 307.169617, 0.292977, 197.377647, 126.000000, -16.208038
7143858, 3649.941162, 0.000000, 0.000000, -15.000000, 100.533005, 266.263153, 0.303679, 173.299507, 126.000000, -33.036346
7357009, 3628.037598, 0.000000, 181.818176, 39.000000, 126.532043, 205.552460, 0.377926, 131.298065, 126.000000, -51.745605
7568897, 3471.724365, 0.000000, 727.484375, 98.000000, 149.133224, 142.792023, 0.312375, 76.699837, 126.000000, -59.907807
7782223, 2984.085938, 0.000000, 545.613281, 119.000000, 158.543793, 193.741928, 0.277592, 59.315689, 126.000000, 8.426239
8003713, 2326.490234, 71.412247, 893.112305, 118.000000, 143.850861, 127.703201, 0.311037, 38.776291, 126.000000, -37.073089
8217749, 1980.858154, 73.907646, 906.585449, 116.000000, 108.076691, 67.391441, 0.311706, -11.884964, 125.059604, -54.102677
8429781, 2086.213623, 75.000000, 1071.122559, 114.000000, 68.375053, 30.458872, 0.313043, -68.437420, 101.246691, -50.256593
8643847, 2351.168945, 74.257423, 1071.046021, 113.000000, 37.460564, -25.629221, 0.313043, -113.309155, 49.126557, -40.763032
8867762, 2531.483398, 73.889076, 1090.572021, 111.000000, 15.798880, -71.419426, 0.309030, -142.801678, 0.000000, -28.578919
9080743, 2679.083984, 73.894173, 1090.572021, 109.000000, 0.248982, -68.722458, 0.310368, -163.126522, 0.000000, -19.784499
9293881, 2795.470947, 74.626862, 1249.620605, 107.000000, 5.060543, -33.916470, 0.315719, -152.909180, 0.000000, 11.956284
9517760, 2912.299072, 74.258896, 1252.863647, 106.000000, 10.287064, -37.235065, 0.309699, -143.569405, 0.000000, 5.835755
9730743, 3020.399658, 147.823303, 1250.000000, 104.000000, 15.123142, -37.779743, 0.313712, -133.315292, 0.000000, 2.214844
9953780, 3139.371338, 71.169312, 1272.727295, 102.000000, 20.445560, -22.515371, 0.316388, -122.331665, 0.000000, 14.184127
10167732, 3245.174805, 148.514847, 1272.727295, 101.000000, 28.713797, -18.243132, 0.317057, -108.429302, 0.000000, 14.285660
10379715, 3322.974365, 149.994003, 1454.995117, 99.000000, 40.172218, 1.000000, 0.316388, -88.241673, 0.000000, 25.263496
10593716, 3395.553467, 73.894539, 1454.968750, 98.000000, 54.203968, 3.283905, 0.315719, -65.694048, 0.000000, 22.992119
10807298, 3464.794678, 73.891624, 1429.005249, 97.000000, 71.523987, 16.142101, 0.329097, -38.214020, 0.000000, 27.606307
